epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
61,2865.2,0.09078,0.02398,0.00622,0.08145,0.74794,0.99952,0.99858,0.995,0.92395,0.99952,0.99858,0.995,0.99283,0.47877,0.10368,0.04533,0.21887,1.10585,0.000812,0.000812,0.000812
62,2911.75,0.09139,0.02451,0.00544,0.08345,0.74837,0.99901,1,0.995,0.92627,0.99901,1,0.995,0.99355,0.4778,0.09712,0.04616,0.21473,1.10319,0.0007922,0.0007922,0.0007922
63,2958.39,0.0881,0.02238,0.0054,0.07992,0.7471,0.99764,0.99997,0.99499,0.92799,0.99764,0.99997,0.99499,0.99337,0.47599,0.09044,0.05227,0.21347,1.09657,0.0007724,0.0007724,0.0007724
64,3005.43,0.0855,0.02297,0.00546,0.07726,0.74653,0.99858,0.99996,0.99498,0.92605,0.99858,0.99996,0.99498,0.99291,0.47785,0.09429,0.04779,0.21291,1.10534,0.0007526,0.0007526,0.0007526
65,3052.47,0.08504,0.02111,0.00512,0.07618,0.74647,0.99905,0.99901,0.99497,0.92743,0.99905,0.99901,0.99497,0.99352,0.47767,0.09137,0.04893,0.21001,1.09812,0.0007328,0.0007328,0.0007328
66,3099.07,inf,0.02186,0.00567,0.07648,0.74612,0.99855,0.99905,0.99494,0.92511,0.99855,0.99905,0.99494,0.99363,0.47966,0.08795,0.04686,0.22146,1.10775,0.000713,0.000713,0.000713
67,3146.23,0.07991,0.02093,0.00513,0.07288,0.7447,0.99902,0.99905,0.99491,0.92765,0.99902,0.99905,0.99491,0.99274,0.47485,0.08727,0.04954,0.21631,1.09976,0.0006932,0.0006932,0.0006932
68,3192.4,0.07813,0.02055,0.00482,0.07136,0.74472,0.99843,0.99905,0.99489,0.92398,0.99843,0.99905,0.99489,0.99289,0.48333,0.0879,0.0481,0.21852,1.10799,0.0006734,0.0006734,0.0006734
69,3239.49,0.07474,0.01892,0.00439,0.06908,0.74348,0.99858,0.99948,0.99495,0.9235,0.99858,0.99948,0.99495,0.99272,0.48347,0.08908,0.04945,0.21799,1.10869,0.0006536,0.0006536,0.0006536
70,3286.09,0.07407,0.01949,0.00439,0.06968,0.74351,0.99994,0.99858,0.995,0.92444,0.99994,0.99858,0.995,0.99271,0.48669,0.09885,0.05476,0.21783,1.12274,0.0006338,0.0006338,0.0006338
